#chrom,st,end,accession,mRNA_size,gene_strand,Frag_count,FPM,FPKM
chrIII,1093082,1093154,SPCTRNATHR.08.1,72,-,1,0.1736240123,2.411444616
chrIII,1068028,1068099,SPCTRNAASP.05.1,71,+,2,0.3472480247,4.890817249
chrIII,115588,116726,SPCC330.05c.1,1138,-,38,6.597712469,5.797638373
chrIII,115393,115476,SPNCRNA.129.1,83,-,4,0.6944960494,8.367422281
chrIII,1102808,1102909,SPCTRNALEU.13.1,82,+,4,0.6944960494,8.469464017
chrII,1597995,1598069,SPBTRNAASN.01.1,74,-,4,0.6944960494,9.385081748
chrI,718118,718190,SPATRNAGLU.01.1,72,-,4,0.6944960494,9.645778463
chrIII,1105839,1105911,SPCTRNATHR.09.1,72,+,4,0.6944960494,9.645778463
chrII,1644082,1644183,SPBTRNALEU.07.1,82,-,5,0.8681200617,10.58683002
chrI,3591947,3592044,SPATRNALEU.03.1,97,+,6,1.041744074,10.73962963
chrII,2768256,2768335,SPBTRNALEU.08.1,79,-,5,0.8681200617,10.98886154
chrII,569120,569305,SPRRNA.30.1,185,+,12,2.083488148,11.2620981
chrIII,1065777,1065860,SPCTRNAVAL.12.1,74,-,5,0.8681200617,11.73135219
chrI,3736519,3736592,SPATRNAARG.02.1,73,+,5,0.8681200617,11.89205564
chrI,365154,365226,SPATRNAPRO.01.1,72,+,5,0.8681200617,12.05722308
chrI,3776767,3776839,SPATRNAGLU.04.1,72,+,5,0.8681200617,12.05722308
chrIII,1253192,1253287,SPCTRNASER.10.1,84,+,6,1.041744074,12.40171517
chrII,2601129,2601336,SPNCRNA.539.1,207,-,15,2.604360185,12.58145017
chrII,1402443,1402541,SPBTRNALEU.05.1,82,-,6,1.041744074,12.70419602
chrI,3165353,3165546,SPRRNA.14.1,193,+,15,2.604360185,13.49409422
chrI,3443054,3443144,SPATRNAARG.01.1,90,+,7,1.215368086,13.50408985
chrII,3814133,3814216,SPBTRNALYS.09.1,75,+,6,1.041744074,13.88992099
chrI,3773909,3773983,SPATRNAchrILE.04.1,74,-,6,1.041744074,14.07762262
chrII,1600085,1600159,SPBTRNAchrILE.05.1,74,+,6,1.041744074,14.07762262
chrII,4210052,4210126,SPBTRNAASN.04.1,74,-,6,1.041744074,14.07762262
chrI,1746463,1746547,SPATRNATYR.01.1,84,+,7,1.215368086,14.4686677
chrIII,1863130,1863202,SPCTRNAGLN.05.1,72,+,6,1.041744074,14.4686677
chrII,1619173,1619256,SPBTRNAVAL.06.1,83,-,7,1.215368086,14.64298899
chrII,3939226,3939297,SPBTRNAASP.04.1,71,+,6,1.041744074,14.67245175
chrII,1598744,1598845,SPBTRNALEU.06.1,82,-,7,1.215368086,14.82156203
chrIII,1096084,1096185,SPCTRNALEU.12.1,82,-,7,1.215368086,14.82156203
chrII,2322704,2322851,SPRRNA.35.1,147,+,13,2.25711216,15.35450449
